source_name	source_type	source_id	target_name	target_type	target_id	relation_type	resource	pmid
NOTCH1	Gene	ENTREZ:4851	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::D::Gene:Disease	FIBROAD	23989801
NOTCH1	Gene	ENTREZ:4851	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::D::Gene:Disease	FIBROAD	19064701
NOTCH1	Gene	ENTREZ:4851	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::D::Gene:Disease	FIBROAD	27387769
NOTCH1	Gene	ENTREZ:4851	pulmonary fibrosis	Disease	MONDO:0002771	GNBR::G::Gene:Disease	FIBROAD	26358219
NOTCH1	Gene	ENTREZ:4851	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	31189722
NOX1	Gene	ENTREZ:27035	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	21384410
CYBB	Gene	ENTREZ:1536	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	21384410
NOX1	Gene	ENTREZ:27035	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	21618578
NOX1	Gene	ENTREZ:27035	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	33485364
NOX1	Gene	ENTREZ:27035	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	22618020
CYBB	Gene	ENTREZ:1536	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::G::Gene:Disease	FIBROAD	24681145
CYBB	Gene	ENTREZ:1536	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	31950520
CYBB	Gene	ENTREZ:1536	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	26104383
NOX4	Gene	ENTREZ:50507	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	22618020
NOX4	Gene	ENTREZ:50507	atherosclerosis	Disease	MONDO:0005311	GNBR::G::Gene:Disease	FIBROAD	31419754
NOX4	Gene	ENTREZ:50507	pulmonary fibrosis	Disease	MONDO:0002771	GNBR::G::Gene:Disease	FIBROAD	24718857
NOX4	Gene	ENTREZ:50507	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::G::Gene:Disease	FIBROAD	20185797
OSM	Gene	ENTREZ:5008	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::D::Gene:Disease	FIBROAD	31249305
OSM	Gene	ENTREZ:5008	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	28779552
OSM	Gene	ENTREZ:5008	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	14694154
OSM	Gene	ENTREZ:5008	Fibrosis	Disease	MESH:D005355	GNBR::G::Gene:Disease	FIBROAD	18765531
PDCD1	Gene	ENTREZ:5133	pulmonary fibrosis	Disease	MONDO:0002771	GNBR::G::Gene:Disease	FIBROAD	30257954
PDCD1	Gene	ENTREZ:5133	pulmonary fibrosis	Disease	MONDO:0002771	GNBR::D::Gene:Disease	FIBROAD	31201259
PDCD1	Gene	ENTREZ:5133	pulmonary fibrosis	Disease	MONDO:0002771	GNBR::D::Gene:Disease	FIBROAD	29220578
PDGFA	Gene	ENTREZ:5154	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::G::Gene:Disease	FIBROAD	20038802
PDGFA	Gene	ENTREZ:5154	Fibrosis	Disease	MESH:D005355	GNBR::G::Gene:Disease	FIBROAD	9354795
PDGFA	Gene	ENTREZ:5154	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::G::Gene:Disease	FIBROAD	19213942
PDGFC	Gene	ENTREZ:56034	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::G::Gene:Disease	FIBROAD	19213942
PDGFD	Gene	ENTREZ:80310	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::G::Gene:Disease	FIBROAD	19213942
PDGFB	Gene	ENTREZ:5155	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	17397961
PDGFD	Gene	ENTREZ:80310	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	17397961
PDGFB	Gene	ENTREZ:5155	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	18077793
PDGFC	Gene	ENTREZ:56034	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	18077793
PDGFD	Gene	ENTREZ:80310	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	18077793
PDGFB	Gene	ENTREZ:5155	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	26312152
PDGFD	Gene	ENTREZ:80310	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	26312152
PDGFC	Gene	ENTREZ:56034	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	26312152
PDGFRA	Gene	ENTREZ:5156	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	26312152
PDGFRB	Gene	ENTREZ:5159	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	26312152
PDGFRA	Gene	ENTREZ:5156	Fibrosis	Disease	MESH:D005355	GNBR::G::Gene:Disease	FIBROAD	32229310
PDGFRA	Gene	ENTREZ:5156	Fibrosis	Disease	MESH:D005355	GNBR::G::Gene:Disease	FIBROAD	31768046
