source_name	source_type	target_name	target_type	source_id	target_id	pmid	relation_type	resource
ARLNC1	Gene	Breast Cancer	Disease	ENTREZ:100996425		21424380	GNBR::Y::Gene:Disease	CBCG
ASPH	Gene	Breast Cancer	Disease	ENTREZ:444		30323354	GNBR::Y::Gene:Disease	CBCG
ATE1	Gene	Breast Cancer	Disease	ENTREZ:11101		21263130	GNBR::Y::Gene:Disease	CBCG
ATM	Gene	Breast Cancer	Disease	ENTREZ:472		35042965	GNBR::Y::Gene:Disease	CBCG
ATM	Gene	Breast Cancer	Disease	ENTREZ:472		17166884	GNBR::Y::Gene:Disease	CBCG
ATM	Gene	Breast Cancer	Disease	ENTREZ:472		16832357	GNBR::Y::Gene:Disease	CBCG
ATM	Gene	Breast Cancer	Disease	ENTREZ:472		15928302	GNBR::Y::Gene:Disease	CBCG
ATM	Gene	Breast Cancer	Disease	ENTREZ:472		10362113	GNBR::Y::Gene:Disease	CBCG
ATM	Gene	Breast Cancer	Disease	ENTREZ:472		33471991	GNBR::Y::Gene:Disease	CBCG
ATM	Gene	Breast Cancer	Disease	ENTREZ:472		37262986	GNBR::Y::Gene:Disease	CBCG
ATM	Gene	Breast Cancer	Disease	ENTREZ:472		35884425	GNBR::Y::Gene:Disease	CBCG
ATM	Gene	Breast Cancer	Disease	ENTREZ:472		35396981	GNBR::Y::Gene:Disease	CBCG
ATM	Gene	Breast Cancer	Disease	ENTREZ:472		14695186	GNBR::Y::Gene:Disease	CBCG
ATM	Gene	Breast Cancer	Disease	ENTREZ:472		14695186	GNBR::Y::Gene:Disease	CBCG
ATM	Gene	Breast Cancer	Disease	ENTREZ:472		36152082	GNBR::Y::Gene:Disease	CBCG
ATM	Gene	Breast Cancer	Disease	ENTREZ:472		36161273	GNBR::Y::Gene:Disease	CBCG
ATR	Gene	Breast Cancer	Disease	ENTREZ:545		15987455	GNBR::Y::Gene:Disease	CBCG
ATRIP	Gene	Breast Cancer	Disease	ENTREZ:84126		36977412	GNBR::Y::Gene:Disease	CBCG
ATXN7	Gene	Breast Cancer	Disease	ENTREZ:6314		24943594	GNBR::Y::Gene:Disease	CBCG
ATXN7	Gene	Breast Cancer	Disease	ENTREZ:6314		36356581	GNBR::Y::Gene:Disease	CBCG
