drugbank_id	status	valid
DB00165	{'approved', 'vet_approved', 'nutraceutical', 'investigational'}	True
DB00166	{'approved', 'nutraceutical', 'investigational'}	True
DB00167	{'nutraceutical', 'investigational'}	True
DB00168	{'nutraceutical', 'investigational'}	True
DB00169	{'approved', 'nutraceutical'}	True
DB00170	{'approved', 'nutraceutical'}	True
DB00171	{'nutraceutical', 'investigational'}	True
DB00173	{'approved', 'nutraceutical'}	True
DB00174	{'approved', 'nutraceutical', 'investigational'}	True
DB00175	{'approved'}	True
DB00176	{'approved', 'investigational'}	True
DB00177	{'approved', 'investigational'}	True
DB00178	{'approved'}	True
DB00179	{'approved', 'investigational'}	True
DB00180	{'approved', 'investigational'}	True
DB00181	{'approved'}	True
DB00182	{'approved', 'illicit', 'investigational'}	True
DB00183	{'approved'}	True
DB00184	{'approved'}	True
DB00185	{'approved'}	True
DB00186	{'approved'}	True
DB00187	{'approved', 'withdrawn'}	True
DB00188	{'approved', 'investigational'}	True
DB00189	{'approved', 'illicit', 'withdrawn'}	True
DB00190	{'approved'}	True
DB00191	{'approved', 'illicit'}	True
DB00192	{'approved'}	True
DB00193	{'approved', 'investigational'}	True
DB00194	{'approved', 'investigational'}	True
DB00195	{'approved', 'investigational'}	True
DB00196	{'approved', 'investigational'}	True
DB00197	{'approved', 'withdrawn', 'investigational'}	True
DB00198	{'approved'}	True
DB00199	{'approved', 'vet_approved', 'investigational'}	True
DB00200	{'approved'}	True
DB00201	{'approved'}	True
DB00202	{'approved'}	True
DB00203	{'approved', 'investigational'}	True
DB00204	{'approved', 'investigational'}	True
DB00205	{'approved', 'vet_approved', 'investigational'}	True
DB00206	{'approved', 'withdrawn', 'investigational'}	True
DB00207	{'approved'}	True
DB00208	{'approved'}	True
DB00209	{'approved'}	True
DB00210	{'approved'}	True
DB00211	{'approved'}	True
DB00212	{'experimental'}	True
DB00213	{'approved'}	True
DB00214	{'approved'}	True
DB00215	{'approved'}	True
DB00216	{'approved', 'investigational'}	True
DB00217	{'approved'}	True
DB00218	{'approved', 'investigational'}	True
DB00219	{'approved'}	True
DB00220	{'approved'}	True
DB00221	{'approved'}	True
DB00222	{'approved'}	True
DB00223	{'approved'}	True
DB00224	{'approved'}	True
DB00225	{'approved', 'investigational'}	True
DB00226	{'approved'}	True
DB00227	{'approved', 'investigational'}	True
DB00228	{'approved', 'vet_approved', 'investigational'}	True
DB00229	{'approved', 'investigational'}	True
DB00230	{'approved', 'investigational'}	True
DB00231	{'approved', 'investigational'}	True
DB00232	{'withdrawn'}	True
DB00233	{'approved'}	True
DB00234	{'approved', 'experimental'}	True
DB00235	{'approved'}	True
DB00236	{'approved'}	True
DB00237	{'approved', 'illicit'}	True
DB00238	{'approved'}	True
DB00239	{'approved'}	True
DB00240	{'approved'}	True
DB00241	{'approved', 'illicit'}	True
DB00242	{'approved', 'investigational'}	True
DB00243	{'approved', 'investigational'}	True
DB00244	{'approved'}	True
DB00245	{'approved'}	True
DB00246	{'approved'}	True
DB00247	{'approved'}	True
DB00248	{'approved'}	True
DB00249	{'approved', 'investigational'}	True
DB00250	{'approved', 'investigational'}	True
DB00251	{'approved'}	True
DB00252	{'approved', 'vet_approved'}	True
DB00253	{'approved'}	True
DB00254	{'approved', 'vet_approved', 'investigational'}	True
DB00255	{'approved', 'withdrawn', 'investigational'}	True
DB00256	{'approved', 'investigational'}	True
DB00257	{'approved', 'vet_approved'}	True
DB00258	{'approved', 'investigational'}	True
DB00259	{'approved'}	True
DB00260	{'approved'}	True
DB00261	{'approved'}	True
DB00262	{'approved', 'investigational'}	True
DB00263	{'approved', 'vet_approved'}	True
DB00264	{'approved', 'investigational'}	True
DB00265	{'approved'}	True
DB00266	{'approved'}	True
DB00267	{'approved'}	True
DB00268	{'approved', 'investigational'}	True
DB00269	{'withdrawn', 'investigational'}	True
DB00270	{'approved', 'investigational'}	True
DB00271	{'approved', 'vet_approved'}	True
DB00272	{'approved'}	True
DB00273	{'approved'}	True
DB00274	{'approved', 'investigational'}	True
DB00275	{'approved', 'investigational'}	True
DB00276	{'approved', 'investigational'}	True
DB00277	{'approved'}	True
DB00278	{'approved', 'investigational'}	True
DB00279	{'approved', 'vet_approved'}	True
DB00280	{'approved'}	True
DB00281	{'approved', 'vet_approved'}	True
DB00282	{'approved'}	True
DB00283	{'approved', 'investigational'}	True
DB00284	{'approved', 'investigational'}	True
DB00285	{'approved'}	True
DB00286	{'approved'}	True
DB00287	{'approved'}	True
DB00288	{'approved'}	True
DB00289	{'approved'}	True
DB00290	{'approved', 'investigational'}	True
DB00291	{'approved'}	True
DB00292	{'approved'}	True
DB00293	{'approved', 'investigational'}	True
DB00294	{'approved', 'investigational'}	True
DB00295	{'approved', 'investigational'}	True
DB00296	{'approved'}	True
DB00297	{'approved', 'investigational'}	True
DB00298	{'approved'}	True
DB00299	{'approved'}	True
DB00300	{'approved', 'investigational'}	True
DB00301	{'approved', 'investigational'}	True
DB00302	{'approved'}	True
DB00303	{'approved', 'investigational'}	True
DB00304	{'approved'}	True
DB00305	{'approved'}	True
DB00306	{'approved', 'illicit'}	True
DB00307	{'approved', 'investigational'}	True
DB00308	{'approved'}	True
DB00309	{'approved', 'investigational'}	True
DB00310	{'approved'}	True
DB00311	{'withdrawn'}	True
DB00312	{'approved', 'vet_approved', 'investigational'}	True
DB00313	{'approved', 'investigational'}	True
DB00314	{'approved'}	True
DB00315	{'approved', 'investigational'}	True
DB00316	{'approved'}	True
DB00317	{'approved', 'investigational'}	True
DB00318	{'approved', 'illicit'}	True
DB00319	{'approved'}	True
DB00320	{'approved', 'investigational'}	True
DB00321	{'approved'}	True
DB00322	{'approved'}	True
DB00323	{'approved', 'withdrawn'}	True
DB00324	{'approved', 'investigational'}	True
DB00325	{'approved', 'investigational'}	True
DB00326	{'approved'}	True
DB00327	{'approved', 'illicit'}	True
DB00328	{'approved', 'investigational'}	True
DB00330	{'approved'}	True
DB00331	{'approved'}	True
DB00332	{'approved', 'experimental'}	True
DB00333	{'approved'}	True
DB00334	{'approved', 'investigational'}	True
DB00335	{'approved'}	True
DB00336	{'approved', 'vet_approved', 'withdrawn', 'investigational'}	True
DB00337	{'approved', 'investigational'}	True
DB00338	{'approved', 'vet_approved', 'investigational'}	True
DB00339	{'approved', 'investigational'}	True
DB00340	{'approved'}	True
DB00341	{'approved'}	True
DB00342	{'approved', 'withdrawn'}	True
DB00343	{'approved', 'investigational'}	True
DB00344	{'approved'}	True
DB00345	{'approved', 'investigational'}	True
DB00346	{'approved', 'investigational'}	True
DB00347	{'approved'}	True
DB00348	{'approved', 'investigational'}	True
DB00349	{'approved', 'illicit'}	True
DB00350	{'approved', 'investigational'}	True
DB00351	{'approved', 'vet_approved', 'investigational'}	True
DB00352	{'approved'}	True
DB00353	{'approved'}	True
DB00354	{'approved'}	True
DB00355	{'approved'}	True
DB00356	{'approved'}	True
DB00357	{'approved', 'investigational'}	True
DB00358	{'approved', 'investigational'}	True
DB00359	{'approved', 'vet_approved', 'investigational'}	True
DB00360	{'approved', 'investigational'}	True
DB00361	{'approved', 'investigational'}	True
DB00362	{'approved', 'investigational'}	True
DB00363	{'approved'}	True
DB00364	{'approved'}	True
DB00365	{'approved', 'withdrawn', 'investigational'}	True
DB00366	{'approved', 'vet_approved'}	True
DB00367	{'approved', 'investigational'}	True
DB00368	{'approved'}	True
DB00369	{'approved'}	True
DB00370	{'approved'}	True
DB00371	{'approved', 'illicit'}	True
DB00372	{'approved', 'withdrawn'}	True
DB00373	{'approved'}	True
DB00374	{'approved', 'investigational'}	True
