UniprotAC	Symbol	ENSGid	ExpressionDirection	DatasetID	Comparison
Q13554	CAMK2B	ENSG00000058404	Down	ODwyer17	IPF_vs_Ctrl
Q8IVD9	NUDCD3	ENSG00000015676	Down	ODwyer17	IPF_vs_Ctrl
P04406	GAPDH	ENSG00000111640	Up	ODwyer17	IPF_vs_Ctrl
P26038	MSN	ENSG00000147065	Down	ODwyer17	IPF_vs_Ctrl
P07355	ANXA2	ENSG00000182718	Down	ODwyer17	IPF_vs_Ctrl
P08833	IGFBP1	ENSG00000146678	Down	ODwyer17	IPF_vs_Ctrl
P31785	IL2RG	ENSG00000147168	Up	ODwyer17	IPF_vs_Ctrl
P43652	AFM	ENSG00000079557	Up	ODwyer17	IPF_vs_Ctrl
P10145	CXCL8	ENSG00000169429	Down	ODwyer17	IPF_vs_Ctrl
P15514	AREG	ENSG00000109321	Up	ODwyer17	IPF_vs_Ctrl
O43557	TNFSF14	ENSG00000125735	Down	ODwyer17	IPF_vs_Ctrl
P01024	C3	ENSG00000125730	Down	ODwyer17	IPF_vs_Ctrl
Q9UIK4	DAPK2	ENSG00000035664	Down	ODwyer17	IPF_vs_Ctrl
P55008	AIF1	ENSG00000204472	Down	ODwyer17	IPF_vs_Ctrl
O14625	CXCL11	ENSG00000169248	Down	ODwyer17	IPF_vs_Ctrl
P80188	LCN2	ENSG00000148346	Down	ODwyer17	IPF_vs_Ctrl
P10912	GHR	ENSG00000112964	Up	ODwyer17	IPF_vs_Ctrl
Q8N1Q1	CA13	ENSG00000185015	Up	ODwyer17	IPF_vs_Ctrl
P07451	CA3	ENSG00000164879	Down	ODwyer17	IPF_vs_Ctrl
Q9HD89	RETN	ENSG00000104918	Down	ODwyer17	IPF_vs_Ctrl
P29350	PTPN6	ENSG00000111679	Down	ODwyer17	IPF_vs_Ctrl
O00299	CLIC1	ENSG00000213719	Up	ODwyer17	IPF_vs_Ctrl
Q02750	MAP2K1	ENSG00000169032	Down	ODwyer17	IPF_vs_Ctrl
Q9Y3A5	SBDS	ENSG00000126524	Up	ODwyer17	IPF_vs_Ctrl
Q06187	BTK	ENSG00000010671	Up	ODwyer17	IPF_vs_Ctrl
P0C0L5	C4B	ENSG00000224389	Down	ODwyer17	IPF_vs_Ctrl
Q9UMF0	ICAM5	ENSG00000105376	Up	ODwyer17	IPF_vs_Ctrl
P78380	OLR1	ENSG00000173391	Down	ODwyer17	IPF_vs_Ctrl
P14618	PKM	ENSG00000067225	Up	ODwyer17	IPF_vs_Ctrl
P46527	CDKN1B	ENSG00000111276	Down	ODwyer17	IPF_vs_Ctrl
P05771	PRKCB	ENSG00000166501	Up	ODwyer17	IPF_vs_Ctrl
P41240	CSK	ENSG00000103653	Up	ODwyer17	IPF_vs_Ctrl
P16435	POR	ENSG00000127948	Down	ODwyer17	IPF_vs_Ctrl
O00602	FCN1	ENSG00000085265	Down	ODwyer17	IPF_vs_Ctrl
P13686	ACP5	ENSG00000102575	Up	ODwyer17	IPF_vs_Ctrl
O15264	MAPK13	ENSG00000156711	Down	ODwyer17	IPF_vs_Ctrl
P62081	RPS7	ENSG00000171863	Down	ODwyer17	IPF_vs_Ctrl
P0C0S5	H2AZ1	ENSG00000164032	Down	ODwyer17	IPF_vs_Ctrl
Q14005	IL16	ENSG00000172349	Down	ODwyer17	IPF_vs_Ctrl
P05154	SERPINA5	ENSG00000188488	Up	ODwyer17	IPF_vs_Ctrl
P01011	SERPINA3	ENSG00000196136	Down	ODwyer17	IPF_vs_Ctrl
Q05397	PTK2	ENSG00000169398	Down	ODwyer17	IPF_vs_Ctrl
P35247	SFTPD	ENSG00000133661	Down	ODwyer17	IPF_vs_Ctrl
P55010	EIF5	ENSG00000100664	Down	ODwyer17	IPF_vs_Ctrl
P20810	CAST	ENSG00000153113	Down	ODwyer17	IPF_vs_Ctrl
Q13557	CAMK2D	ENSG00000145349	Down	ODwyer17	IPF_vs_Ctrl
O76074	PDE5A	ENSG00000138735	Up	ODwyer17	IPF_vs_Ctrl
Q99497	PARK7	ENSG00000116288	Down	ODwyer17	IPF_vs_Ctrl
P23280	CA6	ENSG00000131686	Up	ODwyer17	IPF_vs_Ctrl
P60568	IL2	ENSG00000109471	Down	ODwyer17	IPF_vs_Ctrl
P18669	PGAM1	ENSG00000171314	Down	ODwyer17	IPF_vs_Ctrl
P17174	GOT1	ENSG00000120053	Down	ODwyer17	IPF_vs_Ctrl
P0DJI8	SAA1	ENSG00000173432	Down	ODwyer17	IPF_vs_Ctrl
P08700	IL3	ENSG00000164399	Down	ODwyer17	IPF_vs_Ctrl
P20333	TNFRSF1B	ENSG00000028137	Down	ODwyer17	IPF_vs_Ctrl
Q99471	PFDN5	ENSG00000123349	Down	ODwyer17	IPF_vs_Ctrl
P06744	GPI	ENSG00000105220	Down	ODwyer17	IPF_vs_Ctrl
O60506	SYNCRIP	ENSG00000135316	Down	ODwyer17	IPF_vs_Ctrl
P43490	NAMPT	ENSG00000105835	Down	ODwyer17	IPF_vs_Ctrl
P29317	EPHA2	ENSG00000142627	Down	ODwyer17	IPF_vs_Ctrl
O43488	AKR7A2	ENSG00000053371	Up	ODwyer17	IPF_vs_Ctrl
O95390	GDF11	ENSG00000135414	Up	ODwyer17	IPF_vs_Ctrl
Q08752	PPID	ENSG00000171497	Up	ODwyer17	IPF_vs_Ctrl
P14555	PLA2G2A	ENSG00000188257	Down	ODwyer17	IPF_vs_Ctrl
Q13765	NACA	ENSG00000196531	Up	ODwyer17	IPF_vs_Ctrl
P06241	FYN	ENSG00000010810	Down	ODwyer17	IPF_vs_Ctrl
P02788	LTF	ENSG00000012223	Down	ODwyer17	IPF_vs_Ctrl
P62979	RPS27A	ENSG00000143947	Down	ODwyer17	IPF_vs_Ctrl
Q08945	SSRP1	ENSG00000149136	Down	ODwyer17	IPF_vs_Ctrl
P05155	SERPING1	ENSG00000149131	Down	ODwyer17	IPF_vs_Ctrl
Q03154	ACY1	ENSG00000243989	Up	ODwyer17	IPF_vs_Ctrl
O75594	PGLYRP1	ENSG00000008438	Down	ODwyer17	IPF_vs_Ctrl
Q99729	HNRNPAB	ENSG00000197451	Down	ODwyer17	IPF_vs_Ctrl
P54920	NAPA	ENSG00000105402	Up	ODwyer17	IPF_vs_Ctrl
P50579	METAP2	ENSG00000111142	Up	ODwyer17	IPF_vs_Ctrl
P62306	SNRPF	ENSG00000139343	Down	ODwyer17	IPF_vs_Ctrl
P40121	CAPG	ENSG00000042493	Down	ODwyer17	IPF_vs_Ctrl
Q08ET2	SIGLEC14	ENSG00000254415	Down	ODwyer17	IPF_vs_Ctrl
P14550	AKR1A1	ENSG00000117448	Down	ODwyer17	IPF_vs_Ctrl
P23528	CFL1	ENSG00000172757	Down	ODwyer17	IPF_vs_Ctrl
Q06124	PTPN11	ENSG00000179295	Down	ODwyer17	IPF_vs_Ctrl
Q99706	KIR2DL4	ENSG00000189013	Down	ODwyer17	IPF_vs_Ctrl
P30086	PEBP1	ENSG00000089220	Down	ODwyer17	IPF_vs_Ctrl
O00170	AIP	ENSG00000110711	Up	ODwyer17	IPF_vs_Ctrl
P09211	GSTP1	ENSG00000084207	Down	ODwyer17	IPF_vs_Ctrl
O95219	SNX4	ENSG00000114520	Up	ODwyer17	IPF_vs_Ctrl
P62826	RAN	ENSG00000132341	Up	ODwyer17	IPF_vs_Ctrl
P0CG37	CFC1	ENSG00000136698	Down	ODwyer17	IPF_vs_Ctrl
P13726	F3	ENSG00000117525	Down	ODwyer17	IPF_vs_Ctrl
P09603	CSF1	ENSG00000184371	Down	ODwyer17	IPF_vs_Ctrl
P09237	MMP7	ENSG00000137673	Up	ODwyer17	IPF_vs_Ctrl
P03956	MMP1	ENSG00000196611	Up	ODwyer17	IPF_vs_Ctrl
P02647	APOA1	ENSG00000118137	Up	ODwyer17	IPF_vs_Ctrl
Q16549	PCSK7	ENSG00000160613	Up	ODwyer17	IPF_vs_Ctrl
Q9HCR9	PDE11A	ENSG00000128655	Up	ODwyer17	IPF_vs_Ctrl
P06702	S100A9	ENSG00000163220	Down	ODwyer17	IPF_vs_Ctrl
P29353	SHC1	ENSG00000160691	Down	ODwyer17	IPF_vs_Ctrl
P02741	CRP	ENSG00000132693	Down	ODwyer17	IPF_vs_Ctrl
Q16832	DDR2	ENSG00000162733	Down	ODwyer17	IPF_vs_Ctrl
P02751	FN1	ENSG00000115414	Up	ODwyer17	IPF_vs_Ctrl
P12259	F5	ENSG00000198734	Up	ODwyer17	IPF_vs_Ctrl
P16109	SELP	ENSG00000174175	Up	ODwyer17	IPF_vs_Ctrl
P18065	IGFBP2	ENSG00000115457	Down	ODwyer17	IPF_vs_Ctrl
P35354	PTGS2	ENSG00000073756	Down	ODwyer17	IPF_vs_Ctrl
P49137	MAPKAPK2	ENSG00000162889	Up	ODwyer17	IPF_vs_Ctrl
Q9UHD0	IL19	ENSG00000142224	Up	ODwyer17	IPF_vs_Ctrl
Q14162	SCARF1	ENSG00000074660	Down	ODwyer17	IPF_vs_Ctrl
Q8N5S9	CAMKK1	ENSG00000004660	Up	ODwyer17	IPF_vs_Ctrl
P63241	EIF5A	ENSG00000132507	Down	ODwyer17	IPF_vs_Ctrl
P45985	MAP2K4	ENSG00000065559	Up	ODwyer17	IPF_vs_Ctrl
P55773	CCL23	ENSG00000274736	Down	ODwyer17	IPF_vs_Ctrl
P14061	HSD17B1	ENSG00000108786	Down	ODwyer17	IPF_vs_Ctrl
P05164	MPO	ENSG00000005381	Down	ODwyer17	IPF_vs_Ctrl
P17252	PRKCA	ENSG00000154229	Up	ODwyer17	IPF_vs_Ctrl
P52292	KPNA2	ENSG00000182481	Down	ODwyer17	IPF_vs_Ctrl
Q9NYA1	SPHK1	ENSG00000176170	Up	ODwyer17	IPF_vs_Ctrl
Q92598	HSPH1	ENSG00000120694	Down	Saraswat20	IPF_vs_Ctrl
Q96IY4	CPB2	ENSG00000080618	Down	Saraswat20	IPF_vs_Ctrl
P00742	F10	ENSG00000126218	Down	Saraswat20	IPF_vs_Ctrl
P05546	SERPIND1	ENSG00000099937	Down	Saraswat20	IPF_vs_Ctrl
O75882	ATRN	ENSG00000088812	Down	Saraswat20	IPF_vs_Ctrl
P02766	TTR	ENSG00000118271	Down	Saraswat20	IPF_vs_Ctrl
O60870	KIN	ENSG00000151657	Down	Saraswat20	IPF_vs_Ctrl
P48426	PIP4K2A	ENSG00000150867	Up	Saraswat20	IPF_vs_Ctrl
P18206	VCL	ENSG00000035403	Down	Saraswat20	IPF_vs_Ctrl
P0C0L5	C4B	ENSG00000224389	Down	Saraswat20	IPF_vs_Ctrl
P05543	SERPINA7	ENSG00000123561	Down	Saraswat20	IPF_vs_Ctrl
Q14141	SEPTIN6	ENSG00000125354	Up	Saraswat20	IPF_vs_Ctrl
P41222	PTGDS	ENSG00000107317	Down	Saraswat20	IPF_vs_Ctrl
P08185	SERPINA6	ENSG00000170099	Down	Saraswat20	IPF_vs_Ctrl
Q9BYG8	GSDMC	ENSG00000147697	Down	Saraswat20	IPF_vs_Ctrl
O60308	CEP104	ENSG00000116198	Down	Saraswat20	IPF_vs_Ctrl
Q9NTM9	CUTC	ENSG00000119929	Up	Saraswat20	IPF_vs_Ctrl
P15169	CPN1	ENSG00000120054	Down	Saraswat20	IPF_vs_Ctrl
P60660	MYL6	ENSG00000092841	Down	Saraswat20	IPF_vs_Ctrl
Q8N9V7	TOPAZ1	ENSG00000173769	Up	Saraswat20	IPF_vs_Ctrl
P22352	GPX3	ENSG00000211445	Down	Saraswat20	IPF_vs_Ctrl
P00739	HPR	ENSG00000261701	Down	Saraswat20	IPF_vs_Ctrl
Q14244	MAP7	ENSG00000135525	Up	Saraswat20	IPF_vs_Ctrl
Q8N1N0	CLEC4F	ENSG00000152672	Down	Saraswat20	IPF_vs_Ctrl
Q3KQU3	MAP7D1	ENSG00000116871	Up	Saraswat20	IPF_vs_Ctrl
Q9NRY4	ARHGAP35	ENSG00000160007	Down	Saraswat20	IPF_vs_Ctrl
P06276	BCHE	ENSG00000114200	Down	Saraswat20	IPF_vs_Ctrl
P22792	CPN2	ENSG00000178772	Down	Saraswat20	IPF_vs_Ctrl
O43866	CD5L	ENSG00000073754	Down	Saraswat20	IPF_vs_Ctrl
Q9BXR6	CFHR5	ENSG00000134389	Down	Saraswat20	IPF_vs_Ctrl
P05067	APP	ENSG00000142192	Up	Todd19	IPF_vs_Ctrl
P04155	TFF1	ENSG00000160182	Down	Todd19	IPF_vs_Ctrl
P35625	TIMP3	ENSG00000100234	Up	Todd19	IPF_vs_Ctrl
P01127	PDGFB	ENSG00000100311	Up	Todd19	IPF_vs_Ctrl
P17213	BPI	ENSG00000101425	Up	Todd19	IPF_vs_Ctrl
P30566	ADSL	ENSG00000239900	Down	Todd19	IPF_vs_Ctrl
P14780	MMP9	ENSG00000100985	Up	Todd19	IPF_vs_Ctrl
P04085	PDGFA	ENSG00000197461	Up	Todd19	IPF_vs_Ctrl
P07996	THBS1	ENSG00000137801	Up	Todd19	IPF_vs_Ctrl
P22626	HNRNPA2B1	ENSG00000122566	Up	Todd19	IPF_vs_Ctrl
P16403	H1-2	ENSG00000187837	Up	Todd19	IPF_vs_Ctrl
P04275	VWF	ENSG00000110799	Up	Todd19	IPF_vs_Ctrl
P02776	PF4	ENSG00000163737	Up	Todd19	IPF_vs_Ctrl
P02775	PPBP	ENSG00000163736	Up	Todd19	IPF_vs_Ctrl
P15498	VAV1	ENSG00000141968	Up	Todd19	IPF_vs_Ctrl
O43927	CXCL13	ENSG00000156234	Up	Todd19	IPF_vs_Ctrl
Q9UMF0	ICAM5	ENSG00000105376	Up	Todd19	IPF_vs_Ctrl
Q15109	AGER	ENSG00000204305	Down	Todd19	IPF_vs_Ctrl
P78380	OLR1	ENSG00000173391	Up	Todd19	IPF_vs_Ctrl
P04792	HSPB1	ENSG00000106211	Down	Todd19	IPF_vs_Ctrl
P17612	PRKACA	ENSG00000072062	Down	Todd19	IPF_vs_Ctrl
P35247	SFTPD	ENSG00000133661	Up	Todd19	IPF_vs_Ctrl
Q99988	GDF15	ENSG00000130513	Up	Todd19	IPF_vs_Ctrl
P21695	GPD1	ENSG00000167588	Up	Todd19	IPF_vs_Ctrl
P23280	CA6	ENSG00000131686	Down	Todd19	IPF_vs_Ctrl
O00626	CCL22	ENSG00000102962	Up	Todd19	IPF_vs_Ctrl
Q92583	CCL17	ENSG00000102970	Up	Todd19	IPF_vs_Ctrl
P52209	PGD	ENSG00000142657	Up	Todd19	IPF_vs_Ctrl
P18669	PGAM1	ENSG00000171314	Up	Todd19	IPF_vs_Ctrl
P08133	ANXA6	ENSG00000197043	Up	Todd19	IPF_vs_Ctrl
P09486	SPARC	ENSG00000113140	Up	Todd19	IPF_vs_Ctrl
Q15465	SHH	ENSG00000164690	Down	Todd19	IPF_vs_Ctrl
P52789	HK2	ENSG00000159399	Up	Todd19	IPF_vs_Ctrl
P40121	CAPG	ENSG00000042493	Up	Todd19	IPF_vs_Ctrl
P03956	MMP1	ENSG00000196611	Up	Todd19	IPF_vs_Ctrl
P08254	MMP3	ENSG00000149968	Down	Todd19	IPF_vs_Ctrl
P06702	S100A9	ENSG00000163220	Up	Todd19	IPF_vs_Ctrl
P06703	S100A6	ENSG00000197956	Up	Todd19	IPF_vs_Ctrl
P02751	FN1	ENSG00000115414	Up	Todd19	IPF_vs_Ctrl
P13501	CCL5	ENSG00000271503	Up	Todd19	IPF_vs_Ctrl
P55774	CCL18	ENSG00000275385	Up	Todd19	IPF_vs_Ctrl
P17252	PRKCA	ENSG00000154229	Down	Todd19	IPF_vs_Ctrl
P02775	PPBP	ENSG00000163736	Up	Moodley19	IPF_vs_Ctrl
Q16610	ECM1	ENSG00000143369	Down	Moodley19	IPF_vs_Ctrl
P02751	FN1	ENSG00000115414	Down	Moodley19	IPF_vs_Ctrl
P01008	SERPINC1	ENSG00000117601	Down	Moodley19	IPF_vs_Ctrl
P63261	ACTG1	ENSG00000184009	Down	Moodley19	IPF_vs_Ctrl
P13796	LCP1	ENSG00000136167	Down	Korfei11	IPF_vs_Ctrl
Q96KP4	CNDP2	ENSG00000133313	Down	Korfei11	IPF_vs_Ctrl
Q13510	ASAH1	ENSG00000104763	Down	Korfei11	IPF_vs_Ctrl
P55072	VCP	ENSG00000165280	Up	Korfei11	IPF_vs_Ctrl
P07951	TPM2	ENSG00000198467	Up	Korfei11	IPF_vs_Ctrl
Q16555	DPYSL2	ENSG00000092964	Down	Korfei11	IPF_vs_Ctrl
Q9C0A1	ZFHX2	ENSG00000136367	Up	Korfei11	IPF_vs_Ctrl
P08670	VIM	ENSG00000026025	Up	Korfei11	IPF_vs_Ctrl
P60709	ACTB	ENSG00000075624	Up	Korfei11	IPF_vs_Ctrl
Q16658	FSCN1	ENSG00000075618	Up	Korfei11	IPF_vs_Ctrl
P04083	ANXA1	ENSG00000135046	Down	Korfei11	IPF_vs_Ctrl
P30740	SERPINB1	ENSG00000021355	Down	Korfei11	IPF_vs_Ctrl
P28838	LAP3	ENSG00000002549	Up	Korfei11	IPF_vs_Ctrl
P30101	PDIA3	ENSG00000167004	Down	Korfei11	IPF_vs_Ctrl
P09467	FBP1	ENSG00000165140	Down	Korfei11	IPF_vs_Ctrl
P25788	PSMA3	ENSG00000100567	Up	Korfei11	IPF_vs_Ctrl
P13639	EEF2	ENSG00000167658	Down	Korfei11	IPF_vs_Ctrl
P11021	HSPA5	ENSG00000044574	Up	Korfei11	IPF_vs_Ctrl
P04406	GAPDH	ENSG00000111640	Up	Korfei11	IPF_vs_Ctrl
P26038	MSN	ENSG00000147065	Down	Korfei11	IPF_vs_Ctrl
P07355	ANXA2	ENSG00000182718	Down	Korfei11	IPF_vs_Ctrl
P02768	ALB	ENSG00000163631	Up	Korfei11	IPF_vs_Ctrl
P09493	TPM1	ENSG00000140416	Up	Korfei11	IPF_vs_Ctrl
P01024	C3	ENSG00000125730	Down	Korfei11	IPF_vs_Ctrl
P23284	PPIB	ENSG00000166794	Up	Korfei11	IPF_vs_Ctrl
Q01469	FABP5	ENSG00000164687	Down	Korfei11	IPF_vs_Ctrl
Q9NVA2	SEPTIN11	ENSG00000138758	Up	Korfei11	IPF_vs_Ctrl
P60174	TPI1	ENSG00000111669	Up	Korfei11	IPF_vs_Ctrl
P12429	ANXA3	ENSG00000138772	Down	Korfei11	IPF_vs_Ctrl
P00915	CA1	ENSG00000133742	Down	Korfei11	IPF_vs_Ctrl
P07451	CA3	ENSG00000164879	Up	Korfei11	IPF_vs_Ctrl
O00299	CLIC1	ENSG00000213719	Up	Korfei11	IPF_vs_Ctrl
P00558	PGK1	ENSG00000102144	Up	Korfei11	IPF_vs_Ctrl
Q13813	SPTAN1	ENSG00000197694	Up	Korfei11	IPF_vs_Ctrl
P14618	PKM	ENSG00000067225	Down	Korfei11	IPF_vs_Ctrl
P37837	TALDO1	ENSG00000177156	Down	Korfei11	IPF_vs_Ctrl
Q9UBX5	FBLN5	ENSG00000140092	Up	Korfei11	IPF_vs_Ctrl
P40926	MDH2	ENSG00000146701	Up	Korfei11	IPF_vs_Ctrl
P04792	HSPB1	ENSG00000106211	Up	Korfei11	IPF_vs_Ctrl
P07339	CTSD	ENSG00000117984	Down	Korfei11	IPF_vs_Ctrl
P00325	ADH1B	ENSG00000196616	Down	Korfei11	IPF_vs_Ctrl
P32119	PRDX2	ENSG00000167815	Down	Korfei11	IPF_vs_Ctrl
P25789	PSMA4	ENSG00000041357	Up	Korfei11	IPF_vs_Ctrl
Q04760	GLO1	ENSG00000124767	Down	Korfei11	IPF_vs_Ctrl
P37235	HPCAL1	ENSG00000115756	Down	Korfei11	IPF_vs_Ctrl
Q14764	MVP	ENSG00000013364	Down	Korfei11	IPF_vs_Ctrl
P68871	HBB	ENSG00000244734	Down	Korfei11	IPF_vs_Ctrl
P08238	HSP90AB1	ENSG00000096384	Up	Korfei11	IPF_vs_Ctrl
Q9NZA1	CLIC5	ENSG00000112782	Down	Korfei11	IPF_vs_Ctrl
P07900	HSP90AA1	ENSG00000080824	Up	Korfei11	IPF_vs_Ctrl
P50995	ANXA11	ENSG00000122359	Up	Korfei11	IPF_vs_Ctrl
P00367	GLUD1	ENSG00000148672	Up	Korfei11	IPF_vs_Ctrl
P62736	ACTA2	ENSG00000107796	Up	Korfei11	IPF_vs_Ctrl
P23141	CES1	ENSG00000198848	Up	Korfei11	IPF_vs_Ctrl
P01876	IGHA1	ENSG00000211895	Up	Korfei11	IPF_vs_Ctrl
P01857	IGHG1	ENSG00000211896	Up	Korfei11	IPF_vs_Ctrl
P06733	ENO1	ENSG00000074800	Down	Korfei11	IPF_vs_Ctrl
P21695	GPD1	ENSG00000167588	Down	Korfei11	IPF_vs_Ctrl
P68104	EEF1A1	ENSG00000156508	Down	Korfei11	IPF_vs_Ctrl
P62879	GNB2	ENSG00000172354	Down	Korfei11	IPF_vs_Ctrl
P18669	PGAM1	ENSG00000171314	Up	Korfei11	IPF_vs_Ctrl
P05787	KRT8	ENSG00000170421	Up	Korfei11	IPF_vs_Ctrl
P00338	LDHA	ENSG00000134333	Up	Korfei11	IPF_vs_Ctrl
P21796	VDAC1	ENSG00000213585	Up	Korfei11	IPF_vs_Ctrl
P04040	CAT	ENSG00000121691	Down	Korfei11	IPF_vs_Ctrl
Q16851	UGP2	ENSG00000169764	Up	Korfei11	IPF_vs_Ctrl
P13667	PDIA4	ENSG00000155660	Up	Korfei11	IPF_vs_Ctrl
P29401	TKT	ENSG00000163931	Down	Korfei11	IPF_vs_Ctrl
Q16531	DDB1	ENSG00000167986	Up	Korfei11	IPF_vs_Ctrl
Q01518	CAP1	ENSG00000131236	Up	Korfei11	IPF_vs_Ctrl
P09960	LTA4H	ENSG00000111144	Up	Korfei11	IPF_vs_Ctrl
P31948	STIP1	ENSG00000168439	Up	Korfei11	IPF_vs_Ctrl
P05091	ALDH2	ENSG00000111275	Down	Korfei11	IPF_vs_Ctrl
P02787	TF	ENSG00000091513	Up	Korfei11	IPF_vs_Ctrl
P62826	RAN	ENSG00000132341	Up	Korfei11	IPF_vs_Ctrl
Q13228	SELENBP1	ENSG00000143416	Down	Korfei11	IPF_vs_Ctrl
P06702	S100A9	ENSG00000163220	Down	Korfei11	IPF_vs_Ctrl
P05109	S100A8	ENSG00000143546	Down	Korfei11	IPF_vs_Ctrl
P10809	HSPD1	ENSG00000144381	Up	Korfei11	IPF_vs_Ctrl
P02545	LMNA	ENSG00000160789	Up	Korfei11	IPF_vs_Ctrl
P31939	ATIC	ENSG00000138363	Up	Korfei11	IPF_vs_Ctrl
P01833	PIGR	ENSG00000162896	Up	Korfei11	IPF_vs_Ctrl
P43034	PAFAH1B1	ENSG00000007168	Up	Korfei11	IPF_vs_Ctrl
P08727	KRT19	ENSG00000171345	Up	Korfei11	IPF_vs_Ctrl
Q99536	VAT1	ENSG00000108828	Down	Korfei11	IPF_vs_Ctrl
P52565	ARHGDIA	ENSG00000141522	Down	Korfei11	IPF_vs_Ctrl
Q9UGT4	SUSD2	ENSG00000099994	Down	Foster14	IPF_vs_Ctrl
Q96FE7	PIK3IP1	ENSG00000100100	Down	Foster14	IPF_vs_Ctrl
P12724	RNASE3	ENSG00000169397	Up	Foster14	IPF_vs_Ctrl
P10153	RNASE2	ENSG00000169385	Up	Foster14	IPF_vs_Ctrl
P24158	PRTN3	ENSG00000196415	Down	Foster14	IPF_vs_Ctrl
Q9P270	SLAIN2	ENSG00000109171	Down	Foster14	IPF_vs_Ctrl
Q9HAR2	ADGRL3	ENSG00000150471	Down	Foster14	IPF_vs_Ctrl
P02775	PPBP	ENSG00000163736	Up	Foster14	IPF_vs_Ctrl
P18206	VCL	ENSG00000035403	Up	Foster14	IPF_vs_Ctrl
P01911	HLA-DRB1	ENSG00000196126	Up	Foster14	IPF_vs_Ctrl
P10451	SPP1	ENSG00000118785	Up	Foster14	IPF_vs_Ctrl
P98088	MUC5AC	ENSG00000215182	Down	Foster14	IPF_vs_Ctrl
Q04760	GLO1	ENSG00000124767	Down	Foster14	IPF_vs_Ctrl
P04114	APOB	ENSG00000084674	Down	Foster14	IPF_vs_Ctrl
P12277	CKB	ENSG00000166165	Up	Foster14	IPF_vs_Ctrl
O15143	ARPC1B	ENSG00000130429	Up	Foster14	IPF_vs_Ctrl
P55064	AQP5	ENSG00000161798	Down	Foster14	IPF_vs_Ctrl
Q12800	TFCP2	ENSG00000135457	Down	Foster14	IPF_vs_Ctrl
Q9NQ79	CRTAC1	ENSG00000095713	Down	Foster14	IPF_vs_Ctrl
P05787	KRT8	ENSG00000170421	Up	Foster14	IPF_vs_Ctrl
P02675	FGB	ENSG00000171564	Up	Foster14	IPF_vs_Ctrl
Q9UKD2	MRTO4	ENSG00000053372	Up	Foster14	IPF_vs_Ctrl
P32320	CDA	ENSG00000158825	Up	Foster14	IPF_vs_Ctrl
P98160	HSPG2	ENSG00000142798	Up	Foster14	IPF_vs_Ctrl
Q01082	SPTBN1	ENSG00000115306	Down	Foster14	IPF_vs_Ctrl
Q05315	CLC	ENSG00000105205	Up	Foster14	IPF_vs_Ctrl
Q9Y266	NUDC	ENSG00000090273	Down	Foster14	IPF_vs_Ctrl
P40199	CEACAM6	ENSG00000086548	Up	Foster14	IPF_vs_Ctrl
P05155	SERPING1	ENSG00000149131	Down	Foster14	IPF_vs_Ctrl
Q9NZL3	ZNF224	ENSG00000267680	Down	Foster14	IPF_vs_Ctrl
Q7Z408	CSMD2	ENSG00000121904	Down	Foster14	IPF_vs_Ctrl
P52790	HK3	ENSG00000160883	Down	Foster14	IPF_vs_Ctrl
P02792	FTL	ENSG00000087086	Up	Foster14	IPF_vs_Ctrl
P02794	FTH1	ENSG00000167996	Up	Foster14	IPF_vs_Ctrl
P22894	MMP8	ENSG00000118113	Up	Foster14	IPF_vs_Ctrl
P24752	ACAT1	ENSG00000075239	Down	Foster14	IPF_vs_Ctrl
P02647	APOA1	ENSG00000118137	Down	Foster14	IPF_vs_Ctrl
Q96DX8	RTP4	ENSG00000136514	Down	Foster14	IPF_vs_Ctrl
P22792	CPN2	ENSG00000178772	Up	Foster14	IPF_vs_Ctrl
P06702	S100A9	ENSG00000163220	Up	Foster14	IPF_vs_Ctrl
P02786	TFRC	ENSG00000072274	Down	Foster14	IPF_vs_Ctrl
Q9Y624	F11R	ENSG00000158769	Down	Foster14	IPF_vs_Ctrl
Q86T82	USP37	ENSG00000135913	Down	Foster14	IPF_vs_Ctrl
Q03591	CFHR1	ENSG00000244414	Up	Foster14	IPF_vs_Ctrl
P12111	COL6A3	ENSG00000163359	Up	Foster14	IPF_vs_Ctrl
P01833	PIGR	ENSG00000162896	Down	Foster14	IPF_vs_Ctrl
Q6IQ49	SDE2	ENSG00000143751	Up	Foster14	IPF_vs_Ctrl
P55774	CCL18	ENSG00000275385	Up	Foster14	IPF_vs_Ctrl
Q9HBR0	SLC38A10	ENSG00000157637	Down	Foster14	IPF_vs_Ctrl
