source_name	source_type	target_name	target_type	source_id	target_id	relation_type	resource
ICAM1	Gene	IPF	Disease	ENTREZ:3383	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
LDHB	Gene	IPF	Disease	ENTREZ:3945	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
PI16	Gene	IPF	Disease	ENTREZ:221476	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
C8G	Gene	IPF	Disease	ENTREZ:733	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
SERPINA4	Gene	IPF	Disease	ENTREZ:5267	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
HBB	Gene	IPF	Disease	ENTREZ:3043	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
HBD	Gene	IPF	Disease	ENTREZ:3045	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
PGLYRP2	Gene	IPF	Disease	ENTREZ:114770	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
TPM4	Gene	IPF	Disease	ENTREZ:7171	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
BTD	Gene	IPF	Disease	ENTREZ:686	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
GPT2	Gene	IPF	Disease	ENTREZ:84706	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
PON1	Gene	IPF	Disease	ENTREZ:5444	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
IGHE	Gene	IPF	Disease	ENTREZ:3497	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
IGHV1-2	Gene	IPF	Disease	ENTREZ:28474	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
IGHV5-51	Gene	IPF	Disease	ENTREZ:28388	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
CETP	Gene	IPF	Disease	ENTREZ:1071	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
KRT1	Gene	IPF	Disease	ENTREZ:3848	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
SAA2	Gene	IPF	Disease	ENTREZ:6289	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
FGB	Gene	IPF	Disease	ENTREZ:2244	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
FGA	Gene	IPF	Disease	ENTREZ:2243	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
LCAT	Gene	IPF	Disease	ENTREZ:3931	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
CAT	Gene	IPF	Disease	ENTREZ:847	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
CLEC3B	Gene	IPF	Disease	ENTREZ:7123	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
CDH1	Gene	IPF	Disease	ENTREZ:999	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
KLKB1	Gene	IPF	Disease	ENTREZ:3818	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
F11	Gene	IPF	Disease	ENTREZ:109821	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
F2	Gene	IPF	Disease	ENTREZ:14061	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
HP	Gene	IPF	Disease	ENTREZ:3240	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
HPR	Gene	IPF	Disease	ENTREZ:3250	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
FCN3	Gene	IPF	Disease	ENTREZ:8547	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
APOE	Gene	IPF	Disease	ENTREZ:348	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
APOC1	Gene	IPF	Disease	ENTREZ:341	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
PCYOX1	Gene	IPF	Disease	ENTREZ:51449	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
ITIH1	Gene	IPF	Disease	ENTREZ:3697	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
LUM	Gene	IPF	Disease	ENTREZ:4060	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
PLG	Gene	IPF	Disease	ENTREZ:5340	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
PROS1	Gene	IPF	Disease	ENTREZ:5627	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
A1BG	Gene	IPF	Disease	ENTREZ:1	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
C8A	Gene	IPF	Disease	ENTREZ:731	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
C8B	Gene	IPF	Disease	ENTREZ:732	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
BCHE	Gene	IPF	Disease	ENTREZ:590	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
ECM1	Gene	IPF	Disease	ENTREZ:1893	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
AHSG	Gene	IPF	Disease	ENTREZ:197	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
FETUB	Gene	IPF	Disease	ENTREZ:26998	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
KNG1	Gene	IPF	Disease	ENTREZ:3827	MONDO:0002771	Hetionet::DdG::Disease:Gene	FIBROMINE
ASH1L	Gene	IPF	Disease	ENTREZ:55870	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
CRP	Gene	IPF	Disease	ENTREZ:1401	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
IGFBP2	Gene	IPF	Disease	ENTREZ:3485	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
PRDX6	Gene	IPF	Disease	ENTREZ:9588	MONDO:0002771	Hetionet::DuG::Disease:Gene	FIBROMINE
