TTDDRUID	Drug_id
D01TQR	PUBCHEM:72385
D01TSI	PUBCHEM:8223
D01UBX	PUBCHEM:451415
D01UFN	PUBCHEM:5282190
D01UTL	PUBCHEM:2995
D01UUD	PUBCHEM:9948102
D01UXC	PUBCHEM:2249
D01VJN	PUBCHEM:24848071
D01VMO	PUBCHEM:3401
D01WJL	PUBCHEM:4649
D01WLC	PUBCHEM:4170
D01WMJ	PUBCHEM:23978
D01WUA	PUBCHEM:6918140
D01XBA	PUBCHEM:5035
D01XDL	PUBCHEM:42890
D01XLM	PUBCHEM:4837
D01XNB	PUBCHEM:4594
D01XOD	PUBCHEM:54897
D01XRP	PUBCHEM:6433516
D01XWG	PUBCHEM:30323
D01XYJ	PUBCHEM:35370
D01YVT	PUBCHEM:160051
D01ZAQ	PUBCHEM:25227436
D01ZEC	PUBCHEM:91562
D01ZII	PUBCHEM:2726
D01ZJK	PUBCHEM:772
D01ZLU	PUBCHEM:71621331
D01ZOG	PUBCHEM:443936
D01ZRI	PUBCHEM:6450551
D01ZSO	PUBCHEM:4235
D02AEW	PUBCHEM:166973
D02AQY	PUBCHEM:2018
D02ARR	PUBCHEM:6674
D02AUI	PUBCHEM:11431716
D02AXG	PUBCHEM:65157
D02AYL	PUBCHEM:456199
D02CFP	PUBCHEM:13804
D02CII	PUBCHEM:76943386
D02CJX	PUBCHEM:5952
D02CKX	PUBCHEM:31072
D02CNR	PUBCHEM:111332
D02CPP	PUBCHEM:45375887
D02CTS	PUBCHEM:3036505
D02CYR	PUBCHEM:71383
D02DGU	PUBCHEM:444795
D02DJS	PUBCHEM:23620848
D02DKD	PUBCHEM:2342
D02DMQ	PUBCHEM:77993
D02DPA	PUBCHEM:2756
D02DPU	PUBCHEM:2196
D02DSD	PUBCHEM:3080662
D02DSZ	PUBCHEM:443873
D02DWM	PUBCHEM:5280965
D02EHV	PUBCHEM:16129672
D02EXZ	PUBCHEM:169535
D02EYG	PUBCHEM:10096344
D02EZM	PUBCHEM:3038497
D02FCQ	PUBCHEM:8699
D02FEM	PUBCHEM:5284447
D02FLB	PUBCHEM:516892
D02GAC	PUBCHEM:54680675
D02GIU	PUBCHEM:6435415
D02GJZ	PUBCHEM:3086674
D02GUG	PUBCHEM:6100671
D02HED	PUBCHEM:4748
D02HFD	PUBCHEM:124886
D02HSB	PUBCHEM:9854073
D02HWP	PUBCHEM:2722
D02HXS	PUBCHEM:2466
D02HYK	PUBCHEM:53477707
D02IBU	PUBCHEM:16136912
D02ICI	PUBCHEM:86278165
D02IHW	PUBCHEM:151075
D02IIE	PUBCHEM:23676814
D02IIW	PUBCHEM:65894
D02IOH	PUBCHEM:6471
D02IQY	PUBCHEM:592735
D02IUD	PUBCHEM:23690531
D02JIS	PUBCHEM:135326
D02JNM	PUBCHEM:5311066
D02JWA	PUBCHEM:23679966
D02JYY	PUBCHEM:119117
D02KBD	PUBCHEM:6151
D02KCV	PUBCHEM:23672589
D02KFP	PUBCHEM:21924868
D02KIE	PUBCHEM:20054870
D02KIU	PUBCHEM:6917715
D02KJX	PUBCHEM:11545
D02KMO	PUBCHEM:4826
D02KOF	PUBCHEM:3948
D02KRS	PUBCHEM:2130
D02LCR	PUBCHEM:5467
D02LDN	PUBCHEM:24083
D02LDV	PUBCHEM:6202
D02LJR	PUBCHEM:4101
D02LJW	PUBCHEM:23635314
D02LPF	PUBCHEM:2123
D02LRQ	PUBCHEM:2911
D02LTL	PUBCHEM:32756
D02LWU	PUBCHEM:148121
D02LZB	PUBCHEM:220401
D02MLW	PUBCHEM:60753
D02MZY	PUBCHEM:636405
D02NDV	PUBCHEM:439357
D02NEH	PUBCHEM:178024
D02NJA	PUBCHEM:3406
D02NSF	PUBCHEM:5284604
D02NTO	PUBCHEM:5510
D02OAV	PUBCHEM:2707
D02OZE	PUBCHEM:2724385
D02OZY	PUBCHEM:4099
D02PAH	PUBCHEM:2315
D02PCR	PUBCHEM:15541
D02PJA	PUBCHEM:24841
